Genotype Germplasm Treatment Compartment Block Plot fASV113 fASV149 fASV249 fASV115 fASV159 fASV122 fASV154 fASV537 fASV97 fASV145 fASV126 fASV476 fASV44 fASV269 fASV216 fASV180 fASV300 fASV215 fASV121 fASV123 fASV280 fASV236 fASV242 fASV339 fASV297 fASV293 fASV95 fASV3 fASV70 fASV60 fASV12 fASV94 fASV316 fASV395 fASV176 fASV186 fASV125 fASV329 fASV11 fASV21 fASV19 fASV455 fASV311 fASV68 fASV34 fASV148 fASV417 fASV499 fASV62 fASV36 fASV588 fASV196 fASV88 fASV197 fASV224 fASV559 fASV273 fASV65 fASV35 fASV228 fASV323 fASV509 fASV508 fASV105 fASV120 fASV128 fASV26 fASV810 fASV510 fASV327 fASV378 fASV112 fASV590 fASV257 fASV255 fASV337 fASV291 fASV84 fASV158 fASV100 fASV99 fASV325 fASV246 fASV310 fASV391 fASV23 fASV163 fASV178 fASV248 fASV464 fASV367 fASV517 fASV374 fASV37 fASV22 fASV57 fASV39 fASV25 fASV49 fASV9 fASV31 fASV78 fASV42 fASV183 fASV422 fASV411 fASV41 fASV331 fASV440 fASV165 fASV187 fASV58 fASV80 fASV271 fASV147 fASV332 fASV160 fASV106 fASV111 fASV140 fASV185 fASV127 fASV91 fASV376 fASV67 fASV222 fASV138 fASV87 fASV24 fASV86 fASV76 fASV119 fASV598 fASV90 fASV166 fASV245 fASV136 fASV13 fASV167 fASV10 fASV77 fASV29 fASV45 fASV436 fASV43 fASV102 fASV66 fASV153 fASV109 fASV162 fASV64 fASV50 fASV239 fASV320 fASV71 fASV130 fASV15 fASV17 fASV85 fASV6 fASV53 fASV81 fASV114 fASV135 fASV124 fASV150 fASV506 fASV108 fASV152 fASV101 fASV20 fASV7 fASV243 fASV8 fASV5 fASV2 fASV1 fASV485 fASV319 fASV371 fASV220 fASV74 fASV375 fASV14 fASV93 fASV400 fASV170 fASV288 fASV258 fASV386 fASV451 fASV569 fASV301 fASV98 fASV191 fASV214 fASV203 fASV175 fASV267 fASV318 fASV270 fASV61 fASV322 fASV40 fASV30 fASV27 fASV103 fASV155 fASV59 fASV16 fASV82 fASV380 fASV104 fASV523 fASV131 fASV32 fASV28 fASV192 fASV268 fASV206 fASV349 fASV359 fASV360 fASV252 fASV33 fASV139 fASV223 fASV189 fASV132 fASV4 fASV47 fASV213 fASV56 fASV194 fASV157 fASV96 fASV202 fASV79 fASV18 fASV83 fASV231 fASV72 fASV55 fASV46 fASV173 fASV69 fASV305 fASV133
CK_S101_2 X101 Inbred_line CK Rhizosphere 2 P14 90 0 9 0 0 0 17 0 18 11 38 0 13 0 0 0 0 0 11 0 0 0 13 0 0 0 53 1724 40 66 538 0 0 0 5 0 0 0 96 42 45 0 2 0 13 0 0 0 0 17 0 4 0 29 0 0 0 9 26 0 0 0 0 0 0 39 250 0 0 0 0 0 0 0 13 0 0 4 0 24 25 0 0 0 0 430 46 0 0 0 2 0 0 20 0 0 0 0 0 285 9 0 0 0 0 2 0 6 0 338 18 0 0 0 0 3 2 0 225 0 0 0 0 0 0 6 0 0 361 0 17 0 0 32 8 0 14 254 7 2218 4 23 0 5 242 0 0 0 0 15 25 285 0 0 9 0 1111 374 0 780 76 45 18 0 0 23 0 20 0 5 17 1626 0 720 12452 1115 61106 0 6 0 0 0 0 877 72 0 6 0 0 2 0 0 0 19 0 0 0 0 0 0 0 108 0 51 0 61 7 0 0 504 8 12 0 0 18 5017 0 10 0 3 10 0 0 0 167 0 0 37 0 790 63 0 28 0 8 18 0 23 194 49 0 0 0 20 7 0 0 6
CK_S101_3 X101 Inbred_line CK Rhizosphere 3 P14 0 22 0 16 0 0 16 0 0 0 17 0 63 0 0 0 0 0 28 15 0 5 0 0 11 0 0 581 0 0 101 0 0 3 2 0 2 0 82 9 17 0 0 0 43 0 0 0 6 13 0 0 15 11 0 0 0 9 67 0 0 3 0 0 0 18 448 0 3 0 0 50 0 0 6 11 9 19 16 10 19 7 0 0 0 107 0 0 0 0 2 0 0 0 9 0 0 0 0 360 36 0 28 0 9 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 1218 0 10 0 0 36 0 0 7 96 2 362 0 125 0 0 65 0 17 0 0 3 62 59 0 0 47 0 328 211 0 483 86 0 35 5 0 0 2 0 20 23 16 1704 0 2562 99 10788 71845 0 0 0 10 76 0 1389 27 0 0 0 0 3 0 0 4 19 16 0 0 0 0 0 4 7 0 11 18 54 0 8 0 75 0 12 0 11 0 25 0 6 0 0 0 0 0 0 206 0 49 42 0 2435 45 0 33 6 4 31 8 14 84 0 15 0 22 7 0 5 0 18
CK_S102_1 X102 Inbred_line CK Rhizosphere 1 P14 14 0 9 30 0 3 39 0 139 0 36 0 0 0 0 38 7 0 22 26 0 9 0 0 0 0 3 245 0 0 95 0 0 7 17 26 0 0 218 134 84 0 12 0 24 33 0 0 13 129 0 0 131 41 0 0 0 0 632 5 8 0 0 0 14 46 807 0 0 0 11 0 0 10 80 14 8 9 9 58 32 0 0 110 0 1161 0 13 42 6 0 2 0 0 470 0 0 0 0 8 24 0 15 0 0 0 0 21 0 43 40 0 0 14 19 5 0 0 12 30 0 0 0 9 0 18 19 0 1297 7 18 14 0 135 18 0 42 1129 29 508 0 36 5 12 60 0 25 13 20 0 32 181 0 0 0 116 1821 1659 0 498 127 0 86 0 10 0 3 104 0 0 234 903 21 224 142 188 43239 2 9 2 15 141 0 2129 90 10 4 0 7 0 2 4 56 115 23 47 85 0 24 0 8 5 0 214 0 36 100 41 0 517 15 0 52 0 44 1213 62 34 21 4 0 0 0 14 602 65 0 0 0 2341 398 0 131 21 16 26 44 256 42 82 0 0 0 243 90 0 0 34
CK_S102_2 X102 Inbred_line CK Rhizosphere 2 P14 0 0 0 0 0 0 34 0 0 0 0 3 0 0 19 0 0 45 14 14 0 5 38 0 9 7 150 955 0 68 173 57 0 0 0 0 4 0 83 72 68 0 5 0 0 0 0 0 0 20 0 0 32 20 0 0 0 6 222 0 7 0 0 0 0 194 342 0 12 10 0 8 0 0 28 4 0 91 11 43 24 0 0 0 0 264 0 6 0 0 6 0 0 0 13 0 0 0 0 3143 8 0 0 0 7 2 0 15 0 0 17 4 0 0 0 0 2 0 3 0 3 0 2 0 0 7 0 0 289 12 22 27 0 47 15 0 19 300 9 1116 0 34 0 8 69 0 12 0 9 0 20 87 0 0 7 22 1774 1266 151 3453 112 0 75 11 14 0 0 56 0 316 3 2003 0 760 330 41490 48494 0 0 3 0 68 0 756 34 4 3 0 0 0 0 0 0 10 0 0 0 14 0 9 11 45 0 52 0 78 22 0 0 397 88 0 12 0 0 58 23 0 0 0 0 0 0 0 163 0 19 36 0 520 94 0 57 6 5 9 0 14 158 17 0 0 0 9 2 0 0 95
CK_S102_3 X102 Inbred_line CK Rhizosphere 3 P14 3 0 0 4 0 0 7 0 13 0 0 0 24 0 0 0 0 0 7 0 0 0 0 0 0 0 50 271 0 0 75 0 4 0 0 0 0 0 16 16 0 0 0 0 0 2 0 0 14 13 0 0 0 0 0 0 0 0 17 0 3 0 0 0 0 0 126 0 0 0 0 3 0 0 3 0 0 0 0 24 0 0 0 0 0 110 0 0 0 0 0 0 0 0 0 0 0 0 0 279 0 0 0 0 4 0 0 0 0 9 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 86 8 95 0 0 39 4 2 7 255 0 8327 0 19 0 0 161 0 16 0 0 6 48 90 0 32 150 8 431 294 0 469 55 33 0 0 35 0 0 13 0 0 279 542 0 831 17369 15121 36878 0 0 0 4 0 0 138 12 0 4 0 0 0 0 0 0 10 0 0 0 0 0 0 2 9 0 6 2 27 10 0 0 86 8 0 0 0 0 30 0 0 0 0 0 0 0 11 70 0 8 0 0 222 27 0 14 4 4 7 0 8 204 17 0 7 33 21 0 8 0 0
CK_S103_1 X103 Inbred_line CK Rhizosphere 1 P08 26 0 0 70 13 0 74 0 78 0 22 7 15 11 0 10 0 50 45 33 0 0 0 0 0 0 122 323 0 0 55 0 2 18 20 0 5 0 120 54 71 8 7 58 103 22 4 0 0 131 0 0 156 36 0 0 0 3 354 17 5 2 0 19 0 54 892 0 4 15 0 24 0 24 29 62 8 0 43 85 48 0 46 0 0 2223 247 10 33 0 4 3 4 0 5 0 4 0 0 61 0 0 0 0 15 0 0 19 0 137 52 0 16 8 18 14 4 2 7 31 0 0 4 2 0 10 0 0 663 0 35 0 0 171 33 0 38 2337 20 416 0 3394 5 0 110 0 18 47 20 0 15 231 0 0 32 87 2488 3427 35 711 3160 0 64 8 0 9 12 109 0 0 0 728 0 213 41 2977 8336 3 3 0 23 199 0 3877 163 4 8 0 0 0 2 3 23 126 33 21 0 46 18 0 11 14 0 72 0 159 58 0 0 379 22 0 38 0 21 3306 32 0 44 4 14 11 5 0 826 0 0 0 0 3147 257 0 271 33 35 38 15 162 102 69 19 0 0 49 25 3 28 29
CK_S103_2 X103 Inbred_line CK Rhizosphere 2 P08 48 0 0 0 0 0 22 0 24 30 18 0 31 42 0 0 0 31 0 26 0 9 0 16 0 7 45 1758 69 0 226 61 0 0 8 0 0 0 109 67 47 2 13 0 7 6 2 0 0 21 0 0 0 27 0 0 5 0 261 0 0 0 0 0 0 10 178 0 0 5 0 0 0 4 0 0 0 367 15 32 8 0 0 0 0 161 0 7 2 0 0 4 2 0 15 0 0 0 0 2816 14 0 20 0 4 0 0 0 0 7 18 9 0 0 5 0 0 0 0 0 0 0 0 0 4 7 131 0 821 178 21 0 0 81 59 0 18 6013 31 9720 6 48 0 0 73 0 25 0 0 9 16 141 0 0 31 26 652 396 32 418 52 28 19 0 22 0 0 0 63 0 12 812 0 3088 176 7289 61951 0 3 2 5 121 0 581 43 4 0 0 0 0 0 0 0 17 0 0 10 0 0 0 2 75 0 801 2 139 9 0 0 1563 7 0 9 0 40 20 0 7 0 0 0 0 0 0 167 14 0 0 0 399 44 0 31 0 9 8 0 48 347 60 0 0 0 19 7 24 0 10
CK_S103_3 X103 Inbred_line CK Rhizosphere 3 P08 0 0 0 0 0 0 14 0 23 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 19 38 402 0 140 215 0 0 2 0 4 0 0 19 15 0 0 0 0 9 0 0 0 0 20 0 0 15 0 0 0 0 0 46 0 0 0 0 0 0 13 153 0 0 0 8 0 0 0 0 8 6 0 0 11 11 0 5 0 0 157 0 7 0 0 0 0 0 0 0 0 0 38 0 663 18 19 0 0 0 0 0 0 0 5 0 0 12 0 0 0 0 0 0 2 0 0 0 0 5 4 0 0 282 18 118 0 0 28 4 5 9 233 0 37558 58 196 0 0 122 0 14 0 0 0 40 111 0 8 42 32 1085 467 411 579 195 0 7 0 21 0 0 0 26 0 5 409 0 293 6014 30704 27601 0 0 0 0 0 0 240 10 0 38 0 0 2 0 0 0 9 0 0 0 0 7 0 0 4 0 55 8 33 82 0 0 106 0 0 0 28 0 20 0 7 0 0 0 0 0 0 103 0 7 26 0 406 59 0 15 0 6 11 0 14 216 0 6 18 11 15 3 8 0 28
CK_S104_1 X104 Inbred_line CK Rhizosphere 1 P14 9 0 0 0 2 0 69 0 155 0 19 0 0 0 0 3 16 113 82 0 0 6 0 0 0 0 226 164 0 0 54 0 0 8 5 0 0 0 440 132 116 0 7 0 0 5 3 0 180 1264 0 0 39 58 0 3 0 0 839 14 4 0 7 0 0 58 1012 0 0 5 9 0 5 11 49 29 17 0 67 83 47 0 0 28 16 2183 291 5 13 0 8 5 3 0 0 0 125 128 0 100 2 0 0 0 14 5 3 56 0 134 44 0 0 20 18 9 0 0 17 37 0 0 0 7 0 27 0 0 602 4 55 0 0 168 31 0 50 12552 29 222 0 57 8 18 33 0 14 0 25 0 38 248 0 0 0 13 476 995 0 223 61 0 85 0 0 0 3 30 17 0 0 3777 13 335 44 111 2518 2 10 12 7 175 0 2616 181 8 141 4 8 5 12 5 120 121 53 37 0 60 18 0 35 0 0 65 8 41 86 103 0 659 4 17 50 0 45 330 92 29 0 0 11 11 0 19 1099 62 0 57 0 3543 180 19 217 15 67 67 15 68 116 53 19 0 0 53 185 6 0 4
CK_S104_2 X104 Inbred_line CK Rhizosphere 2 P14 0 36 0 47 3 0 70 0 36 0 25 0 0 11 0 0 0 0 0 22 0 8 0 0 11 0 45 1271 57 0 368 58 4 4 3 0 0 0 110 101 72 0 3 0 6 3 0 0 0 32 0 0 0 20 0 0 0 0 385 0 0 3 0 0 71 4 205 0 0 2 0 0 0 0 10 0 0 36 24 183 13 0 0 0 16 143 0 22 0 0 0 0 0 15 0 0 0 0 0 1177 0 0 17 0 0 4 0 0 0 10 0 0 0 0 6 0 0 0 4 5 0 0 0 0 0 6 14 0 10112 50 39 0 0 45 25 0 20 577 15 1412 0 43 0 0 55 0 35 0 0 5 192 122 0 0 34 16 526 654 19 331 80 49 17 10 21 0 0 25 0 0 0 9682 0 18881 355 9854 46373 0 2 0 3 0 0 384 16 0 8 0 0 0 0 0 4 12 0 0 0 8 0 0 6 2279 0 87 0 54 9 0 5 204 0 0 0 0 0 107 0 0 16 0 0 0 0 0 155 0 0 0 0 1150 69 0 40 0 15 15 0 14 249 14 0 0 0 28 10 7 0 8
CK_S104_3 X104 Inbred_line CK Rhizosphere 3 P14 0 0 0 0 0 0 5 0 27 0 0 5 8 0 0 0 0 0 0 0 0 7 0 0 0 10 20 241 0 0 88 0 0 0 0 0 0 0 58 23 13 0 0 0 5 0 13 0 42 5 0 0 15 0 0 0 0 0 25 0 0 0 0 0 0 13 189 0 0 0 0 0 0 0 0 0 0 17 0 19 16 0 0 0 0 168 0 0 0 0 0 0 0 0 0 0 0 0 0 2306 6 0 0 0 0 0 6 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 3 5 64 0 578 13 24941 0 0 26 0 0 10 342 9 1267 3 27 0 0 36 0 7 0 0 0 6 46 0 0 23 0 3202 462 48 5899 59 0 8 8 5 7 0 0 0 69 5 1080 0 1663 3303 36815 27694 0 3 0 0 0 0 180 18 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 3 8 0 32 30 27 3 0 82 198 6 0 0 0 0 21 0 9 0 0 0 0 0 0 97 0 12 0 0 547 35 0 28 0 2 8 5 46 90 14 0 5 7 44 5 0 0 12
